AssetId,EquipmentModelKey,SerialNumber,IdentifierValue,HomeOffice,Lifecycle,Status,CurrentLocation,Custodian,CurrentProject,ParentAsset,LastCalDate,NextCalDue,RetirementReason,Notes,PhoneNumber,StaticIp,MigrationSource
GEO-UM-40003,Instantel|Micromate|Geophone,UM40003,,Ottawa,Active,Deployed,2307 Stonebridge Court,,09000178,DL-UM-40003,2025-07-17,2026-07-17,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
VWR-70000,RST|Model 23600|VWReadout,70000,,Ottawa,Retired,Retired,,,,,2021-05-26,2023-05-26,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5018,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999991054875447115,Ottawa,Active,Available,Ottawa,,,,,,,,613-555-0117,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40004,Instantel|Micromate|DataLogger,UM40004,,Toronto,Active,Deployed,2924 Queensway Ridge,,09000010,,2026-03-20,2027-03-20,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40004,Instantel|Micromate|Geophone,UM40004,,Toronto,Active,Deployed,2924 Queensway Ridge,,09000010,DL-UM-40004,2026-02-26,2027-02-26,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40005,Instantel|Micromate|DataLogger,UM40005,,SWO,Active,Deployed,1796 Erie Shore Drive,,09000205,,2023-04-24,2024-04-24,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40005,Instantel|Micromate|Geophone,UM40005,,SWO,Active,Deployed,1796 Erie Shore Drive,,09000205,DL-UM-40005,2025-05-26,2026-05-26,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5019,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999963894991866241,Toronto,Active,Available,Toronto,,,,,,,,647-555-0105,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500000,Sigicom|S50|SoundLevelMeter,500000,,Sudbury,Active,Available,Sudbury,,,,2026-04-20,2027-04-20,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400000,Sigicom|V12|Geophone,400000,,Toronto,Retired,Retired,,,,,2021-10-06,2022-10-06,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-D10-300000,Sigicom|D10|DataLogger,300000,,London,Active,CheckedOut,,emeka.eriksen@englobecorp.com,,,2026-04-13,2027-04-13,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5020,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999921311284613165,London,Active,CheckedOut,,emeka.eriksen@englobecorp.com,,DL-D10-300000,,,,,226-555-0189,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500001,Sigicom|S50|SoundLevelMeter,500001,,Sudbury,Retired,Retired,,,,,2023-04-17,2024-04-17,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400001,Sigicom|V12|Geophone,400001,,Sudbury,Retired,Retired,,,,,2026-01-12,2027-01-12,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500002,Sigicom|S50|SoundLevelMeter,500002,,SWO,Active,Deployed,1677 Conestoga Parkway Extension,,09000199,DL-D10-300001,2025-02-02,2026-02-02,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5021,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999922665905164026,Ottawa,Active,Available,Ottawa,,,,,,,,343-555-0133,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40006,Instantel|Micromate|DataLogger,UM40006,,Sudbury,Active,Deployed,3818 Tailings Access Road,,09000185,,2024-11-26,2025-11-26,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40006,Instantel|Micromate|Geophone,UM40006,,Sudbury,Active,Deployed,3818 Tailings Access Road,,09000185,DL-UM-40006,2026-03-23,2027-03-23,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
CAM-7200000,Sony|HDR-PJ340|HDCamera,7200000,,Sudbury,Active,Available,Sudbury,,,,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500003,Sigicom|S50|SoundLevelMeter,500003,,Sudbury,Active,CheckedOut,,greta.thibodeau@englobecorp.com,09000126,,2025-12-22,2026-12-22,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40007,Instantel|Micromate|DataLogger,UM40007,,Stoney Creek,Active,Deployed,1804 Harbourview Lane,,09000258,,2020-09-07,2021-09-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40007,Instantel|Micromate|Geophone,UM40007,,Stoney Creek,Retired,Retired,,,,,2019-03-08,2020-03-08,Obsolete,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-C22-450000,Sigicom|C22|Geophone,450000,,Ottawa,Active,Available,Ottawa,,,,2026-08-24,2027-08-24,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500004,Sigicom|S50|SoundLevelMeter,500004,,Toronto,Retired,Retired,,,,,2016-08-29,2017-08-29,Sold,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000000,Sierra Wireless|AirLink RV50X|Modem,3000000000,,Ottawa,Active,Deployed,3296 Bellamy Ridge Road,,09000224,DL-UM-40002,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5022,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999971071481847938,Ottawa,Active,Deployed,3296 Bellamy Ridge Road,,09000224,MDM-3000000000,,,,,343-555-0158,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400002,Sigicom|V12|Geophone,400002,,SWO,Retired,Retired,,,,,2021-08-30,2022-08-30,Lost,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5023,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999930814617873926,Toronto,Active,Available,Toronto,,,,,,,,647-555-0185,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-D10-300001,Sigicom|D10|DataLogger,300001,,SWO,Active,Deployed,1677 Conestoga Parkway Extension,,09000199,,2024-06-21,2025-06-21,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5024,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999908395690441169,SWO,Active,Deployed,1677 Conestoga Parkway Extension,,09000199,DL-D10-300001,,,,,226-555-0115,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40008,Instantel|Micromate|DataLogger,UM40008,,Sudbury,Active,Deployed,3839 Kelly Lake Line,,09000242,,2024-10-09,2025-10-09,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40008,Instantel|Micromate|Geophone,UM40008,,Sudbury,Retired,Retired,,,,,2021-01-29,2022-01-29,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400003,Sigicom|V12|Geophone,400003,,Toronto,Active,Available,Toronto,,,,2026-06-08,2027-06-08,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40009,Instantel|Micromate|DataLogger,UM40009,,SWO,Active,Deployed,1677 Conestoga Parkway Extension,,09000199,,2025-01-06,2026-01-06,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40009,Instantel|Micromate|Geophone,UM40009,,SWO,Active,Deployed,1677 Conestoga Parkway Extension,,09000199,DL-UM-40009,2025-01-15,2026-01-15,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000001,Sierra Wireless|AirLink RV50X|Modem,3000000001,,SWO,Active,Deployed,1677 Conestoga Parkway Extension,,09000199,DL-UM-40009,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5025,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999944745483454884,SWO,Active,Deployed,1677 Conestoga Parkway Extension,,09000199,MDM-3000000001,,,,,226-555-0171,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500005,Sigicom|S50|SoundLevelMeter,500005,,SWO,Retired,Retired,,,,,2024-03-14,2025-03-14,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5026,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999950982063977775,SWO,Retired,Retired,,,,,,,Damaged,,226-555-0114,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000002,Sierra Wireless|AirLink RV50X|Modem,3000000002,,SWO,Active,Deployed,4240 Oxford Mill Lane,,09000231,DL-UM-40016,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5027,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999954598675486637,SWO,Active,Deployed,4240 Oxford Mill Lane,,09000231,MDM-3000000002,,,,,226-555-0133,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40010,Instantel|Micromate|DataLogger,UM40010,,Ottawa,Active,Deployed,1847 Harrow Gate Drive,,09000015,,2021-10-28,2022-10-28,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40010,Instantel|Micromate|Geophone,UM40010,,Ottawa,Active,Deployed,1847 Harrow Gate Drive,,09000015,DL-UM-40010,2026-07-14,2027-07-14,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
VWR-70001,RST|Model 23600|VWReadout,70001,,Sudbury,Retired,Retired,,,,,2024-04-11,2026-04-11,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000003,Sierra Wireless|AirLink RV50X|Modem,3000000003,,SWO,Active,Deployed,1796 Erie Shore Drive,,09000205,DL-UM-40005,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5028,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999986160977065452,SWO,Active,Deployed,1796 Erie Shore Drive,,09000205,MDM-3000000003,,,,,226-555-0151,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-D10-300002,Sigicom|D10|DataLogger,300002,,Ottawa,Active,InCalibration,Montreal Calibration,,,,2025-01-07,2026-01-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5029,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999983680167759658,Ottawa,Active,InCalibration,Montreal Calibration,,,DL-D10-300002,,,,,613-555-0156,192.0.2.107,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5030,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999955525992158176,Toronto,Retired,Retired,,,,,,,Obsolete,,647-555-0138,198.51.100.78,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500006,Sigicom|S50|SoundLevelMeter,500006,,Ottawa,Retired,Retired,,,,,2021-11-10,2022-11-10,Lost,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40011,Instantel|Micromate|DataLogger,UM40011,,Toronto,Active,Deployed,4251 Lawrence Heights Road,,09000216,,2026-04-06,2027-04-06,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40011,Instantel|Micromate|Geophone,UM40011,,Toronto,Retired,Retired,,,,,2017-05-08,2018-05-08,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-C22-450001,Sigicom|C22|Geophone,450001,,Ottawa,Active,Available,Ottawa,,,,2026-08-19,2027-08-19,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000004,Sierra Wireless|AirLink RV50X|Modem,3000000004,,Waterloo,Active,Available,Waterloo,,,,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5031,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999912014653662612,Waterloo,Active,Available,Waterloo,,,MDM-3000000004,,,,,226-555-0159,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500007,Sigicom|S50|SoundLevelMeter,500007,,Sudbury,Active,Available,Sudbury,,,,2026-06-16,2027-06-16,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5032,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999999214278978395,Toronto,Active,Available,Toronto,,,,,,,,647-555-0125,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40012,Instantel|Micromate|DataLogger,UM40012,,Toronto,Active,Deployed,3565 Wexford Drive,,09000038,,2026-04-20,2027-04-20,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40012,Instantel|Micromate|Geophone,UM40012,,Toronto,Active,Deployed,3565 Wexford Drive,,09000038,DL-UM-40012,2025-08-08,2026-08-08,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000005,Sierra Wireless|AirLink RV50X|Modem,3000000005,,Toronto,Active,Deployed,2924 Queensway Ridge,,09000010,DL-UM-40004,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5033,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999974967132228617,Toronto,Active,Deployed,2924 Queensway Ridge,,09000010,MDM-3000000005,,,,,416-555-0158,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40013,Instantel|Micromate|DataLogger,UM40013,,Toronto,Active,Deployed,4230 Sheridan Mews,,09000017,,2026-03-11,2027-03-11,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40013,Instantel|Micromate|Geophone,UM40013,,Toronto,Retired,Retired,,,,,2021-01-13,2022-01-13,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5034,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999993087332781872,SWO,Active,Available,SWO,,,,,,,,519-555-0113,198.51.100.202,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500008,Sigicom|S50|SoundLevelMeter,500008,,Ottawa,Active,NeedsRepair,Ottawa,,,,2026-01-14,2027-01-14,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5035,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999902308866356216,Kitchener,Retired,Retired,,,,,,,Obsolete,,226-555-0110,203.0.113.228,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40014,Instantel|Micromate|DataLogger,UM40014,,Ottawa,Active,Deployed,1020 Silverbirch Parkway,,09000015,,2025-05-18,2026-05-18,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40014,Instantel|Micromate|Geophone,UM40014,,Ottawa,Active,Deployed,1020 Silverbirch Parkway,,09000015,DL-UM-40014,2025-04-06,2026-04-06,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40015,Instantel|Micromate|DataLogger,UM40015,,Ottawa,Active,Deployed,319 Copperhead Road,,09000170,,2026-02-25,2027-02-25,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40015,Instantel|Micromate|Geophone,UM40015,,Ottawa,Active,Deployed,319 Copperhead Road,,09000170,DL-UM-40015,2026-04-24,2027-04-24,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400004,Sigicom|V12|Geophone,400004,,Toronto,Active,Deployed,164 Queensway Ridge,,09000099,DL-D10-350005,2025-09-22,2026-09-22,,Owned by Pinecrest Utilities; on loan to Englobe for the duration of their project.,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5036,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999919331155283744,SWO,Retired,Retired,,,,,,,Lost,,519-555-0124,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400005,Sigicom|V12|Geophone,400005,,Sudbury,Active,Available,Sudbury,,,,2026-02-25,2027-02-25,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
AC-5001,Larson Davis|CAL200|AcousticCalibrator,,,Sudbury,Active,CheckedOut,,emeka.eriksen@englobecorp.com,09000181,,2026-01-12,2027-01-12,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
TS-62000000,"Trimble|S7 - 1"" Autolock AMTS|AutomatedTotalStation",62000000,,Ottawa,Retired,Retired,,,,,2018-10-09,2019-10-09,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500009,Sigicom|S50|SoundLevelMeter,500009,,Sudbury,Retired,Retired,,,,,2023-06-19,2024-06-19,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500010,Sigicom|S50|SoundLevelMeter,500010,,Sudbury,Retired,Retired,,,,,2019-02-08,2020-02-08,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5037,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999954149581393176,Ottawa,Active,Available,Ottawa,,,,,,,,343-555-0160,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5038,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999998462616631728,Toronto,Active,Available,Toronto,,,,,,,,416-555-0163,192.0.2.189,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400006,Sigicom|V12|Geophone,400006,,Toronto,Active,Deployed,164 Queensway Ridge,,09000099,DL-D10-350005,2026-03-31,2027-03-31,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5039,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999941575306146174,Sudbury,Active,Available,Sudbury,,,,,,,,249-555-0114,203.0.113.251,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000006,Sierra Wireless|AirLink RV50X|Modem,3000000006,,Ottawa,Active,Deployed,2307 Stonebridge Court,,09000178,DL-UM-40003,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5040,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999938063440408961,Ottawa,Active,Deployed,2307 Stonebridge Court,,09000178,MDM-3000000006,,,,,613-555-0136,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-C22-450002,Sigicom|C22|Geophone,450002,,Kitchener,Retired,Retired,,,,,2023-11-14,2024-11-14,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40016,Instantel|Micromate|DataLogger,UM40016,,SWO,Active,Deployed,4240 Oxford Mill Lane,,09000231,,2025-12-01,2026-12-01,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40016,Instantel|Micromate|Geophone,UM40016,,SWO,Active,Deployed,4240 Oxford Mill Lane,,09000231,DL-UM-40016,2025-11-19,2026-11-19,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40017,Instantel|Micromate|DataLogger,UM40017,,Ottawa,Active,Deployed,2613 Fenwick Street,,09000260,,2026-01-21,2027-01-21,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40017,Instantel|Micromate|Geophone,UM40017,,Ottawa,Active,Deployed,2613 Fenwick Street,,09000260,DL-UM-40017,2026-01-10,2027-01-10,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
CAM-7000000,Sony|HDR-CX455|HDCamera,7000000,,Sudbury,Retired,Retired,,,,,,,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-D10-300003,Sigicom|D10|DataLogger,300003,,Toronto,Active,Deployed,2694 Queensway Ridge,,09000217,,2026-06-01,2027-06-01,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5041,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999949803066533700,Toronto,Active,Deployed,2694 Queensway Ridge,,09000217,DL-D10-300003,,,,,647-555-0176,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40018,Instantel|Micromate|DataLogger,UM40018,,Ottawa,Active,Deployed,3156 Ashgrove Terrace,,09000015,,2025-08-27,2026-08-27,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40018,Instantel|Micromate|Geophone,UM40018,,Ottawa,Active,Available,Ottawa,,,,2025-11-19,2026-11-19,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5042,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999911485511795508,Toronto,Retired,Retired,,,,,,,Obsolete,,647-555-0178,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500011,Sigicom|S50|SoundLevelMeter,500011,,Ottawa,Retired,Retired,,,,,2024-08-26,2025-08-26,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40019,Instantel|Micromate|DataLogger,UM40019,,Mississauga,Retired,Retired,,,,,2021-07-08,2022-07-08,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40019,Instantel|Micromate|Geophone,UM40019,,Mississauga,Active,Available,Mississauga,,,,2025-01-04,2026-01-04,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5043,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999958630025117566,Sudbury,Active,Available,Sudbury,,,,,,,,705-555-0159,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400007,Sigicom|V12|Geophone,400007,,Sudbury,Active,Available,Sudbury,,,,2026-01-12,2027-01-12,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000007,Sierra Wireless|AirLink RV50X|Modem,3000000007,,SWO,Active,Deployed,1767 Conestoga Parkway Extension,,09000231,DL-UM-40033,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5044,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999990436128268839,SWO,Active,Deployed,1767 Conestoga Parkway Extension,,09000231,MDM-3000000007,,,,,519-555-0189,,SYNTHETIC seed=englobe-ams-007 profile=demo
AQDS-900000,Aeroqual|PCX|DustMonitor,900000,,Ottawa,Active,CheckedOut,,emeka.rousseau@englobecorp.com,09000179,,2026-01-27,2027-01-27,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40020,Instantel|Micromate|DataLogger,UM40020,,Ottawa,Active,Deployed,1029 Millrace Avenue,,09000179,,2025-10-07,2025-10-08,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40020,Instantel|Micromate|Geophone,UM40020,,Ottawa,Retired,Retired,,,,,2022-05-04,2023-05-04,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500012,Sigicom|S50|SoundLevelMeter,500012,,Ottawa,Active,CheckedOut,,greta.larsson@englobecorp.com,09000034,,2026-01-30,2027-01-30,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
CAM-7000001,Sony|HDR-CX455|HDCamera,7000001,,Toronto,Retired,Retired,,,,,,,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40021,Instantel|Micromate|DataLogger,UM40021,,Ottawa,Active,InCalibration,Montreal Calibration,,,,2023-10-23,2024-10-23,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40021,Instantel|Micromate|Geophone,UM40021,,Ottawa,Active,InCalibration,Montreal Calibration,,,,2025-04-30,2026-04-30,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400008,Sigicom|V12|Geophone,400008,,Ottawa,Active,Available,Ottawa,,,,2026-08-20,2027-08-20,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5045,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999919948539907712,Toronto,Active,Available,Toronto,,,,,,,,647-555-0174,192.0.2.64,SYNTHETIC seed=englobe-ams-007 profile=demo
CAM-7100000,Sony|AX-700|HDCamera,7100000,,Ottawa,Active,CheckedOut,,sasha.whitfield@englobecorp.com,09000170,,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400009,Sigicom|V12|Geophone,400009,,Ottawa,Active,Available,Ottawa,,,,2026-05-11,2027-05-11,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
TS-62000001,"Trimble|S7 - 1"" Autolock AMTS|AutomatedTotalStation",62000001,,Ottawa,Active,CheckedOut,,anika.jorgensen@englobecorp.com,09000178,,2025-07-18,2026-07-18,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40022,Instantel|Micromate|DataLogger,UM40022,,Kitchener,Active,Deployed,4279 Erie Shore Drive,,09000237,,2025-02-14,2026-02-14,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40022,Instantel|Micromate|Geophone,UM40022,,Kitchener,Active,Deployed,4279 Erie Shore Drive,,09000237,DL-UM-40022,2024-10-16,2025-10-16,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000008,Sierra Wireless|AirLink RV50X|Modem,3000000008,,SWO,Active,Available,SWO,,,,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5046,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999977110458414787,SWO,Active,Available,SWO,,,MDM-3000000008,,,,,226-555-0140,,SYNTHETIC seed=englobe-ams-007 profile=demo
SB-600000,SINUS|Soundbook|SoundLevelMeter,600000,,SWO,Active,CheckedOut,,rohan.marchetti@englobecorp.com,09000205,,2025-08-12,2026-08-12,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-V12-400010,Sigicom|V12|Geophone,400010,,SWO,Active,Deployed,1767 Conestoga Parkway Extension,,09000231,DL-D10-300006,2023-02-03,2024-02-03,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500013,Sigicom|S50|SoundLevelMeter,500013,,Toronto,Retired,Retired,,,,,2022-11-14,2023-11-14,Damaged,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-D10-300004,Sigicom|D10|DataLogger,300004,,Ottawa,Active,Deployed,2130 Ironwood Crescent,,09000069,,2026-04-23,2027-04-23,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5047,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999997326738965473,Ottawa,Active,Deployed,2130 Ironwood Crescent,,09000069,DL-D10-300004,,,,,343-555-0131,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-C22-450003,Sigicom|C22|Geophone,450003,,Toronto,Active,Deployed,2287 Lakeshore Viaduct Road,,09000010,DL-D10-300005,2026-03-17,2027-03-17,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500014,Sigicom|S50|SoundLevelMeter,500014,,Toronto,Active,Available,Toronto,,,,2026-05-26,2027-05-26,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
AQDS-900001,Aeroqual|PCX|DustMonitor,900001,,Ottawa,Active,InCalibration,Montreal Calibration,,,,2025-08-18,2026-08-18,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-C22-450004,Sigicom|C22|Geophone,450004,,Kitchener,Retired,Retired,,,,,2020-10-08,2021-10-08,Sold,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DL-UM-40023,Instantel|Micromate|DataLogger,UM40023,,Kitchener,Active,Deployed,885 Thames Valley Road,,09000198,,2023-02-15,2024-02-15,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
GEO-UM-40023,Instantel|Micromate|Geophone,UM40023,,Kitchener,Active,Available,Kitchener,,,,2026-08-07,2027-08-07,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
SLM-S50-500015,Sigicom|S50|SoundLevelMeter,500015,,Toronto,Active,Deployed,4377 Eastgate Boulevard,,09000040,DL-D10-350008,2025-11-27,2026-11-27,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
MDM-3000000009,Sierra Wireless|AirLink RV50X|Modem,3000000009,,Toronto,Active,Deployed,4251 Lawrence Heights Road,,09000216,DL-UM-40011,,,,,,,SYNTHETIC seed=englobe-ams-007 profile=demo
DST-5048,"N/A (service, not a manufactured unit)|SIM Card|CellularService",,8999914393702895995,Toronto,Active,Deployed,4251 Lawrence Heights Road,,09000216,MDM-3000000009,,,,,647-555-0143,,SYNTHETIC seed=englobe-ams-007 profile=demo
